brand,line,product_name,variant,category,description,key_benefits,listed_on_current_2026_site,source_status,source_url,image_url,image_file,image_match_type,image_note
Jack Winn Pro,BioBond,BioBond Shampoo,,Shampoo,Bond Repair System product,Bond-building; reinforcing; rejuvenating,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/11/images/GSR_6372991b804591336101668458283.jpg,jw_images/jack_winn_generic_fallback.jpg,fallback,No public exact BioBond Shampoo image was located; using a Jack Winn branded fallback image.
Jack Winn Pro,BioBond,BioBond Conditioner,,Conditioner,Bond Repair System product,Bond-building; reinforcing; rejuvenating,Yes,Current products page,https://jackwinnpro.com/products,https://i.ebayimg.com/images/g/pxEAAOSw8PFlJdD5/s-l400.jpg,jw_images/biobond_conditioner_ebay.jpg,exact,Product image matched to BioBond Conditioner.
Jack Winn Pro,BioBond,BioBond Leave-In,,Leave-In,Bond Repair System product,Bond-building; reinforcing; rejuvenating,Yes,Current products page,https://jackwinnpro.com/products,https://di2ponv0v5otw.cloudfront.net/posts/2024/05/26/665326b8147b9849fb1fa102/m_665326db20684744e1d4385d.jpg,jw_images/biobond_leave_in.jpg,exact,Product image matched to BioBond Leave-In.
Jack Winn Pro,Frost,Frost,,Purple Shampoo,Blonde toning shampoo,Tones brassiness; strengthening; nourishing,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2023/05/images/GSR_645bfcb48dfcf2654411683753668.jpg,jw_images/frost.jpg,exact,Product image matched to Frost.
Jack Winn Pro,DefiniClay,DefiniClay,,Matte Paste,Texture-focused styling paste,Texturizing; defining; firm hold,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/11/images/GSR_6372991b804591336101668458283.jpg,jw_images/jack_winn_generic_fallback.jpg,fallback,No public exact DefiniClay image was located; using a Jack Winn branded fallback image.
Jack Winn Pro,DefiniFlex,DefiniFlex,,Semi-Matte Wax,Flexible styling wax,Defining; shine-enhancing; light hold,Yes,Current products page,https://jackwinnpro.com/products,https://cdn.raveretailer.com/32FD4738E9/2022/11/images/GSR_6372991b804591336101668458283.jpg,jw_images/jack_winn_generic_fallback.jpg,fallback,No public exact DefiniFlex image was located; using a Jack Winn branded fallback image.
Jack Winn Pro,Quench,Quench Shampoo,,Shampoo,Hydrating shampoo,Hydrates; detangles; enhances shine,Yes,Current home page + 2024 product guide,https://jackwinnpro.com/,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/1000x1000/GSR_633de3136fd7a7616611665003811.jpg,jw_images/quench_shampoo.jpg,exact,Product image matched to Quench Shampoo.
Jack Winn Pro,Quench,Quench Conditioner,,Conditioner,Hydrating conditioner,Hydrates; detangles; enhances shine,Yes,Current home page + 2024 product guide,https://jackwinnpro.com/,https://cdn.raveretailer.com/32FD4738E9/2022/11/images/1000x1000/GSR_6372b2a58b5825709281668464821.jpg,jw_images/quench_conditioner.jpg,exact,Product image matched to Quench Conditioner.
Jack Winn Pro,VitaminSilk,VitaminSilk,,Leave-In Therapy,Leave-in treatment with vitamins and botanicals,Detangling; hydrating; thermal protecting,No,2024 product guide only,https://cloudspark.directscale.com/jackwinn/resources/d97d68a8-c5a0-487d-9f32-3f297554fef9/JackWinnPro-US-ProductGuide-Digital_1-24.pdf,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/1000x1000/GSR_633de325c032f2595491665003829.jpg,jw_images/vitaminsilk.jpg,exact,Product image matched to VitaminSilk.
Jack Winn Pro,DayDream,DayDream,,Defining Cream,Curl-friendly defining cream,Curl-defining; frizz-fighting; smoothing,No,2024 product guide only,https://cloudspark.directscale.com/jackwinn/resources/d97d68a8-c5a0-487d-9f32-3f297554fef9/JackWinnPro-US-ProductGuide-Digital_1-24.pdf,https://cdn.raveretailer.com/32FD4738E9/2023/05/images/GSR_647653c11b15a6356201685479889.jpg,jw_images/daydream.jpg,exact,Product image matched to DayDream.
Jack Winn Pro,LiftUp,LiftUp,,Volumizing Mousse,Lightweight non-aerosol mousse,Thermal protecting; style enhancing; volumizing,No,2024 product guide only,https://cloudspark.directscale.com/jackwinn/resources/d97d68a8-c5a0-487d-9f32-3f297554fef9/JackWinnPro-US-ProductGuide-Digital_1-24.pdf,https://cdn.raveretailer.com/32FD4738E9/2022/11/images/GSR_6372991b804591336101668458283.jpg,jw_images/jack_winn_generic_fallback.jpg,fallback,No public exact LiftUp image was located; using a Jack Winn branded fallback image.
Jack Winn Pro,MindBlown,MindBlown,,Strong Hold Hairspray,Strong hold finishing spray,Frizz-fighting; style-locking; color-protecting,No,2024 product guide only,https://cloudspark.directscale.com/jackwinn/resources/d97d68a8-c5a0-487d-9f32-3f297554fef9/JackWinnPro-US-ProductGuide-Digital_1-24.pdf,https://cdn.raveretailer.com/32FD4738E9/2022/10/images/GSR_633de30e9d52c688161665003806.jpg,jw_images/mindblown.jpg,exact,Product image matched to MindBlown.
